ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T22:40:58.761148,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:58.801261,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:58.811976,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:58.852442,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:58.892323,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:58.921858,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:58.939715,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:58.971308,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:58.996564,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:59.031409,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:59.041571,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:59.071471,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:59.081229,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:59.121383,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:59.131322,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:59.140935,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:59.151483,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:59.181522,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:59.192286,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:59.242263,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:59.242770,ETHUSDT,2938.40,0.80,2938.41,17.23
2025-12-25T22:40:59.261150,ETHUSDT,2938.40,0.80,2938.41,17.17
2025-12-25T22:40:59.411713,ETHUSDT,2938.40,0.80,2938.41,11.86
