ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T23:18:24.595341,ETHUSDT,2923.92,31.42,2923.93,22.08
2025-12-25T23:18:24.755623,ETHUSDT,2923.92,31.42,2923.93,21.92
2025-12-25T23:18:25.675724,ETHUSDT,2923.92,20.32,2923.93,27.65
2025-12-25T23:18:25.685092,ETHUSDT,2923.92,25.17,2923.93,27.65
2025-12-25T23:18:25.755515,ETHUSDT,2923.92,25.17,2923.93,21.92
2025-12-25T23:18:26.755982,ETHUSDT,2923.92,27.71,2923.93,21.92
2025-12-25T23:18:27.212409,ETHUSDT,2923.92,27.71,2923.93,17.07
2025-12-25T23:18:27.295313,ETHUSDT,2923.92,27.71,2923.93,11.17
2025-12-25T23:18:27.406051,ETHUSDT,2923.92,28.59,2923.93,11.17
2025-12-25T23:18:27.425055,ETHUSDT,2923.92,28.59,2923.93,2.24
2025-12-25T23:18:27.516363,ETHUSDT,2923.92,28.59,2923.93,0.53
2025-12-25T23:18:27.585552,ETHUSDT,2923.92,28.59,2923.93,1.39
2025-12-25T23:18:27.656707,ETHUSDT,2923.92,28.59,2923.93,0.36
2025-12-25T23:18:27.725353,ETHUSDT,2923.92,28.59,2923.93,1.05
2025-12-25T23:18:27.795605,ETHUSDT,2923.92,28.59,2923.93,0.36
2025-12-25T23:18:27.875889,ETHUSDT,2923.92,28.59,2923.93,0.53
2025-12-25T23:18:27.945571,ETHUSDT,2923.92,28.59,2923.93,0.45
2025-12-25T23:18:28.015643,ETHUSDT,2923.92,28.59,2923.93,0.57
2025-12-25T23:18:28.085622,ETHUSDT,2923.92,28.59,2923.93,0.47
2025-12-25T23:18:28.095292,ETHUSDT,2923.92,28.59,2923.93,5.32
2025-12-25T23:18:28.157024,ETHUSDT,2923.92,28.59,2923.93,5.43
2025-12-25T23:18:28.175833,ETHUSDT,2923.92,28.59,2923.93,20.85
2025-12-25T23:18:28.235982,ETHUSDT,2923.92,28.59,2923.93,22.51
2025-12-25T23:18:28.416032,ETHUSDT,2923.92,28.56,2923.93,22.51
2025-12-25T23:18:28.676356,ETHUSDT,2923.92,28.56,2923.93,22.53
2025-12-25T23:18:28.715495,ETHUSDT,2923.92,23.71,2923.93,22.53
2025-12-25T23:18:28.725378,ETHUSDT,2923.92,25.23,2923.93,22.53
2025-12-25T23:18:28.735120,ETHUSDT,2923.92,31.65,2923.93,22.53
2025-12-25T23:18:29.120592,ETHUSDT,2923.92,31.65,2923.93,16.04
2025-12-25T23:18:29.175967,ETHUSDT,2923.92,8.18,2923.93,48.62
2025-12-25T23:18:29.185509,ETHUSDT,2923.92,7.30,2923.93,49.94
2025-12-25T23:18:29.195935,ETHUSDT,2923.92,7.30,2923.93,50.10
2025-12-25T23:18:29.245201,ETHUSDT,2923.92,9.09,2923.93,50.10
2025-12-25T23:18:29.256767,ETHUSDT,2923.92,7.30,2923.93,50.10
2025-12-25T23:18:29.304938,ETHUSDT,2923.92,4.56,2923.93,50.10
2025-12-25T23:18:29.315319,ETHUSDT,2923.92,4.12,2923.93,50.73
2025-12-25T23:18:29.324657,ETHUSDT,2923.92,3.36,2923.93,50.73
2025-12-25T23:18:29.335040,ETHUSDT,2923.92,3.36,2923.93,51.59
2025-12-25T23:18:29.365302,ETHUSDT,2923.92,3.18,2923.93,51.59
2025-12-25T23:18:29.515560,ETHUSDT,2923.92,3.30,2923.93,51.59
2025-12-25T23:18:30.245152,ETHUSDT,2923.72,0.01,2923.73,2.42
2025-12-25T23:18:30.255387,ETHUSDT,2923.56,0.01,2923.66,9.24
2025-12-25T23:18:30.264668,ETHUSDT,2923.53,0.01,2923.54,38.46
2025-12-25T23:18:30.275351,ETHUSDT,2923.50,0.01,2923.52,4.84
2025-12-25T23:18:30.284900,ETHUSDT,2923.50,1.65,2923.51,136.03
2025-12-25T23:18:30.294893,ETHUSDT,2923.49,0.01,2923.50,4.85
2025-12-25T23:18:30.304893,ETHUSDT,2923.49,0.02,2923.50,141.65
2025-12-25T23:18:30.325514,ETHUSDT,2923.39,10.10,2923.44,158.97
2025-12-25T23:18:30.335323,ETHUSDT,2923.39,6.39,2923.40,139.49
2025-12-25T23:18:30.361786,ETHUSDT,2923.28,0.02,2923.40,140.36
2025-12-25T23:18:30.363455,ETHUSDT,2923.28,0.02,2923.29,1.08
2025-12-25T23:18:30.374979,ETHUSDT,2923.17,0.01,2923.22,3.55
2025-12-25T23:18:30.385590,ETHUSDT,2923.17,1.26,2923.18,69.86
2025-12-25T23:18:30.395472,ETHUSDT,2923.11,0.02,2923.12,5.68
2025-12-25T23:18:30.404930,ETHUSDT,2923.11,0.04,2923.12,105.92
2025-12-25T23:18:30.415251,ETHUSDT,2923.11,12.62,2923.12,108.10
2025-12-25T23:18:30.434862,ETHUSDT,2923.11,12.62,2923.12,97.77
2025-12-25T23:18:30.449212,ETHUSDT,2923.11,12.62,2923.12,94.99
2025-12-25T23:18:30.458227,ETHUSDT,2923.11,18.87,2923.12,94.99
2025-12-25T23:18:30.465196,ETHUSDT,2923.11,26.27,2923.12,92.83
2025-12-25T23:18:30.475065,ETHUSDT,2923.11,26.27,2923.12,94.71
2025-12-25T23:18:30.495348,ETHUSDT,2923.11,26.27,2923.12,88.46
2025-12-25T23:18:30.504954,ETHUSDT,2923.11,26.27,2923.12,75.06
2025-12-25T23:18:30.514791,ETHUSDT,2923.11,27.15,2923.12,59.26
2025-12-25T23:18:30.524548,ETHUSDT,2923.11,27.15,2923.12,16.61
2025-12-25T23:18:30.557235,ETHUSDT,2923.11,27.15,2923.12,10.85
2025-12-25T23:18:30.585271,ETHUSDT,2923.11,27.15,2923.12,1.92
2025-12-25T23:18:30.605537,ETHUSDT,2923.11,28.29,2923.12,1.92
2025-12-25T23:18:30.614943,ETHUSDT,2923.11,31.71,2923.12,1.92
2025-12-25T23:18:30.634997,ETHUSDT,2923.11,36.32,2923.12,1.92
2025-12-25T23:18:30.675839,ETHUSDT,2923.11,36.32,2923.12,0.05
2025-12-25T23:18:30.705222,ETHUSDT,2923.11,36.44,2923.12,0.05
2025-12-25T23:18:30.714695,ETHUSDT,2923.12,77.22,2923.13,0.01
2025-12-25T23:18:30.725089,ETHUSDT,2923.12,126.76,2923.13,0.02
2025-12-25T23:18:30.885599,ETHUSDT,2923.12,130.18,2923.13,0.02
2025-12-25T23:18:31.168578,ETHUSDT,2923.12,130.35,2923.13,0.02
2025-12-25T23:18:31.208330,ETHUSDT,2923.19,12.22,2923.20,0.02
2025-12-25T23:18:31.223879,ETHUSDT,2923.19,155.38,2923.20,0.02
2025-12-25T23:18:31.234680,ETHUSDT,2923.19,156.26,2923.20,0.02
2025-12-25T23:18:31.268483,ETHUSDT,2923.22,116.71,2923.23,0.02
2025-12-25T23:18:31.275088,ETHUSDT,2923.22,121.51,2923.23,0.02
2025-12-25T23:18:31.284728,ETHUSDT,2923.22,121.63,2923.23,0.02
2025-12-25T23:18:31.295062,ETHUSDT,2923.39,53.63,2923.40,0.94
2025-12-25T23:18:31.304747,ETHUSDT,2923.39,90.26,2923.40,1.29
2025-12-25T23:18:31.314985,ETHUSDT,2923.39,90.26,2923.40,0.30
2025-12-25T23:18:31.324679,ETHUSDT,2923.39,90.26,2923.40,5.32
2025-12-25T23:18:31.333659,ETHUSDT,2923.39,90.26,2923.40,5.16
2025-12-25T23:18:31.360580,ETHUSDT,2923.39,92.59,2923.40,0.31
2025-12-25T23:18:31.384769,ETHUSDT,2923.43,113.44,2923.44,6.65
2025-12-25T23:18:31.394891,ETHUSDT,2923.43,109.35,2923.44,6.65
2025-12-25T23:18:31.405282,ETHUSDT,2923.43,109.47,2923.44,6.65
2025-12-25T23:18:31.457373,ETHUSDT,2923.43,109.47,2923.44,13.14
2025-12-25T23:18:31.545096,ETHUSDT,2923.43,109.47,2923.44,8.52
2025-12-25T23:18:31.565175,ETHUSDT,2923.43,109.47,2923.44,13.37
2025-12-25T23:18:31.605130,ETHUSDT,2923.43,109.47,2923.44,7.32
2025-12-25T23:18:31.614194,ETHUSDT,2923.43,115.06,2923.44,1.89
2025-12-25T23:18:31.695090,ETHUSDT,2923.46,107.27,2923.47,7.66
2025-12-25T23:18:31.704232,ETHUSDT,2923.46,108.44,2923.47,7.67
2025-12-25T23:18:31.835285,ETHUSDT,2923.46,108.44,2923.47,9.54
2025-12-25T23:18:32.088389,ETHUSDT,2923.46,108.65,2923.47,9.54
2025-12-25T23:18:32.602223,ETHUSDT,2923.46,108.68,2923.47,9.54
2025-12-25T23:18:32.845670,ETHUSDT,2923.46,109.31,2923.47,9.54
2025-12-25T23:18:32.985572,ETHUSDT,2923.46,112.73,2923.47,9.54
2025-12-25T23:18:33.265349,ETHUSDT,2923.46,109.31,2923.47,9.54
2025-12-25T23:18:33.355086,ETHUSDT,2923.48,1.92,2923.49,6.31
2025-12-25T23:18:33.364687,ETHUSDT,2923.92,0.34,2924.08,0.58
2025-12-25T23:18:33.376490,ETHUSDT,2923.96,12.42,2923.97,6.69
2025-12-25T23:18:33.385098,ETHUSDT,2923.96,47.08,2923.97,25.53
2025-12-25T23:18:33.395083,ETHUSDT,2923.96,47.43,2923.97,25.53
2025-12-25T23:18:33.404668,ETHUSDT,2923.96,47.43,2923.97,25.69
2025-12-25T23:18:33.463664,ETHUSDT,2923.96,49.68,2923.97,25.69
2025-12-25T23:18:33.464300,ETHUSDT,2923.96,46.85,2923.97,25.69
2025-12-25T23:18:33.484706,ETHUSDT,2923.96,41.11,2923.97,25.69
2025-12-25T23:18:33.494779,ETHUSDT,2923.96,35.50,2923.97,25.69
2025-12-25T23:18:33.505022,ETHUSDT,2923.96,33.25,2923.97,27.56
2025-12-25T23:18:33.516025,ETHUSDT,2923.96,33.25,2923.97,27.40
2025-12-25T23:18:33.585157,ETHUSDT,2923.96,22.48,2923.97,27.40
2025-12-25T23:18:33.595813,ETHUSDT,2923.96,7.75,2923.97,28.67
2025-12-25T23:18:33.605191,ETHUSDT,2923.96,7.75,2923.97,28.83
2025-12-25T23:18:33.624733,ETHUSDT,2923.96,1.19,2923.97,28.83
2025-12-25T23:18:33.635152,ETHUSDT,2923.87,0.01,2923.88,11.68
2025-12-25T23:18:33.645349,ETHUSDT,2923.84,0.02,2923.85,104.40
2025-12-25T23:18:33.661056,ETHUSDT,2923.72,0.02,2923.73,1.08
2025-12-25T23:18:33.664590,ETHUSDT,2923.72,0.03,2923.73,89.85
2025-12-25T23:18:33.674877,ETHUSDT,2923.72,0.02,2923.73,88.65
2025-12-25T23:18:33.760372,ETHUSDT,2923.62,0.01,2923.63,77.88
2025-12-25T23:18:33.764666,ETHUSDT,2923.57,10.33,2923.58,78.15
2025-12-25T23:18:33.777720,ETHUSDT,2923.57,16.60,2923.58,65.46
2025-12-25T23:18:33.785233,ETHUSDT,2923.57,16.60,2923.58,66.34
2025-12-25T23:18:33.835476,ETHUSDT,2923.57,16.72,2923.58,66.34
2025-12-25T23:18:33.872614,ETHUSDT,2923.57,16.72,2923.58,68.21
2025-12-25T23:18:33.892731,ETHUSDT,2923.57,16.72,2923.58,65.31
2025-12-25T23:18:33.893108,ETHUSDT,2923.57,16.72,2923.58,70.16
2025-12-25T23:18:33.904756,ETHUSDT,2923.57,21.57,2923.58,70.16
2025-12-25T23:18:33.915199,ETHUSDT,2923.57,16.72,2923.58,70.16
2025-12-25T23:18:33.925201,ETHUSDT,2923.57,21.57,2923.58,70.16
2025-12-25T23:18:33.979147,ETHUSDT,2923.57,16.72,2923.58,70.16
2025-12-25T23:18:34.136459,ETHUSDT,2923.57,17.04,2923.58,70.16
2025-12-25T23:18:34.285805,ETHUSDT,2923.57,17.04,2923.58,46.87
2025-12-25T23:18:34.376643,ETHUSDT,2923.57,32.33,2923.58,39.24
2025-12-25T23:18:34.385077,ETHUSDT,2923.57,32.33,2923.58,30.25
2025-12-25T23:18:34.394712,ETHUSDT,2923.57,32.33,2923.58,17.45
2025-12-25T23:18:34.415562,ETHUSDT,2923.57,32.36,2923.58,17.45
2025-12-25T23:18:34.676887,ETHUSDT,2923.57,27.51,2923.58,17.45
2025-12-25T23:18:34.684545,ETHUSDT,2923.57,32.36,2923.58,17.45
2025-12-25T23:18:34.845504,ETHUSDT,2923.57,27.51,2923.58,17.45
2025-12-25T23:18:34.854777,ETHUSDT,2923.57,27.51,2923.58,18.25
2025-12-25T23:18:34.885587,ETHUSDT,2923.57,25.67,2923.58,22.96
2025-12-25T23:18:35.005273,ETHUSDT,2923.57,30.52,2923.58,22.96
2025-12-25T23:18:35.415848,ETHUSDT,2923.57,30.55,2923.58,22.04
2025-12-25T23:18:35.776850,ETHUSDT,2923.57,30.55,2923.58,19.90
2025-12-25T23:18:36.344908,ETHUSDT,2923.57,32.55,2923.58,19.90
2025-12-25T23:18:36.388488,ETHUSDT,2923.57,32.55,2923.58,13.13
2025-12-25T23:18:36.404686,ETHUSDT,2923.57,32.55,2923.58,7.62
2025-12-25T23:18:36.415093,ETHUSDT,2923.57,32.52,2923.58,7.62
2025-12-25T23:18:36.516937,ETHUSDT,2923.57,32.52,2923.58,2.77
2025-12-25T23:18:36.525141,ETHUSDT,2923.57,32.52,2923.58,1.89
2025-12-25T23:18:36.595471,ETHUSDT,2923.57,32.52,2923.58,0.46
2025-12-25T23:18:36.614851,ETHUSDT,2923.57,35.94,2923.58,0.46
2025-12-25T23:18:36.664778,ETHUSDT,2923.57,35.94,2923.58,0.74
2025-12-25T23:18:36.734494,ETHUSDT,2923.57,35.94,2923.58,0.02
2025-12-25T23:18:36.745457,ETHUSDT,2923.59,124.85,2923.60,0.02
2025-12-25T23:18:36.757281,ETHUSDT,2923.59,125.17,2923.60,0.01
2025-12-25T23:18:36.775955,ETHUSDT,2923.59,125.29,2923.60,0.01
2025-12-25T23:18:36.798048,ETHUSDT,2923.59,127.54,2923.60,0.01
2025-12-25T23:18:36.827641,ETHUSDT,2923.59,133.86,2923.60,0.01
2025-12-25T23:18:37.085440,ETHUSDT,2923.59,134.16,2923.60,0.01
2025-12-25T23:18:37.145449,ETHUSDT,2923.69,14.10,2923.70,0.02
2025-12-25T23:18:37.155275,ETHUSDT,2923.79,129.09,2923.80,0.37
2025-12-25T23:18:37.165193,ETHUSDT,2923.79,131.99,2923.80,1.98
2025-12-25T23:18:37.175622,ETHUSDT,2923.79,131.99,2923.80,8.48
2025-12-25T23:18:37.184815,ETHUSDT,2923.79,124.35,2923.80,13.33
