ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T20:54:18.763498,ETHUSDT,2948.00,14.67,2948.01,60.14
2025-12-25T20:54:18.862910,ETHUSDT,2948.00,14.67,2948.01,58.72
2025-12-25T20:54:18.932976,ETHUSDT,2948.00,1.72,2948.01,58.72
2025-12-25T20:54:19.008352,ETHUSDT,2948.00,1.72,2948.01,60.15
2025-12-25T20:54:19.638171,ETHUSDT,2948.00,1.72,2948.01,58.72
2025-12-25T20:54:19.753439,ETHUSDT,2948.00,1.72,2948.01,58.64
2025-12-25T20:54:19.764431,ETHUSDT,2948.00,1.72,2948.01,60.10
2025-12-25T20:54:20.151188,ETHUSDT,2948.00,1.72,2948.01,58.64
2025-12-25T20:54:20.274229,ETHUSDT,2948.00,5.80,2948.01,58.64
2025-12-25T20:54:20.443668,ETHUSDT,2948.00,5.80,2948.01,60.12
2025-12-25T20:54:20.543476,ETHUSDT,2948.00,5.80,2948.01,58.64
2025-12-25T20:54:20.864714,ETHUSDT,2948.00,5.80,2948.01,60.14
2025-12-25T20:54:21.103656,ETHUSDT,2948.00,5.80,2948.01,58.64
2025-12-25T20:54:21.262927,ETHUSDT,2948.00,5.80,2948.01,60.16
2025-12-25T20:54:21.586036,ETHUSDT,2948.00,5.80,2948.01,58.64
2025-12-25T20:54:21.586772,ETHUSDT,2948.00,5.80,2948.01,60.17
2025-12-25T20:54:21.663064,ETHUSDT,2948.00,5.80,2948.01,58.64
2025-12-25T20:54:21.914211,ETHUSDT,2948.00,5.80,2948.01,60.19
2025-12-25T20:54:22.133419,ETHUSDT,2948.00,5.80,2948.01,58.64
2025-12-25T20:54:22.172769,ETHUSDT,2948.00,5.80,2948.01,58.66
2025-12-25T20:54:22.213879,ETHUSDT,2948.00,5.80,2948.01,60.22
2025-12-25T20:54:22.273865,ETHUSDT,2948.00,8.71,2948.01,60.22
2025-12-25T20:54:22.285059,ETHUSDT,2948.00,13.90,2948.01,59.89
2025-12-25T20:54:22.493490,ETHUSDT,2948.00,13.90,2948.01,58.33
2025-12-25T20:54:22.523334,ETHUSDT,2948.00,5.80,2948.01,59.90
2025-12-25T20:54:22.637294,ETHUSDT,2948.00,5.80,2948.01,58.33
2025-12-25T20:54:22.852877,ETHUSDT,2948.00,5.80,2948.01,58.31
2025-12-25T20:54:23.153107,ETHUSDT,2948.00,5.80,2948.01,58.33
2025-12-25T20:54:23.242681,ETHUSDT,2948.00,5.80,2948.01,59.93
2025-12-25T20:54:23.372370,ETHUSDT,2948.00,5.80,2948.01,59.91
2025-12-25T20:54:23.382900,ETHUSDT,2948.00,5.80,2948.01,58.31
2025-12-25T20:54:23.392760,ETHUSDT,2948.00,5.80,2948.01,59.92
2025-12-25T20:54:23.539469,ETHUSDT,2948.00,5.80,2948.01,58.31
2025-12-25T20:54:23.553099,ETHUSDT,2948.00,5.80,2948.01,58.33
2025-12-25T20:54:23.673051,ETHUSDT,2948.00,5.80,2948.01,59.95
2025-12-25T20:54:23.742908,ETHUSDT,2948.00,13.90,2948.01,59.95
2025-12-25T20:54:23.765933,ETHUSDT,2948.00,13.90,2948.01,58.33
2025-12-25T20:54:23.784831,ETHUSDT,2948.00,12.20,2948.01,59.95
2025-12-25T20:54:23.793268,ETHUSDT,2948.00,13.88,2948.01,59.95
2025-12-25T20:54:23.837059,ETHUSDT,2948.00,13.98,2948.01,59.95
2025-12-25T20:54:23.872634,ETHUSDT,2948.00,13.98,2948.01,58.33
2025-12-25T20:54:23.952927,ETHUSDT,2948.00,13.98,2948.01,58.31
2025-12-25T20:54:24.052762,ETHUSDT,2948.00,13.98,2948.01,58.33
2025-12-25T20:54:24.072535,ETHUSDT,2948.00,13.98,2948.01,59.96
