ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T23:46:40.840026,ETHUSDT,2892.89,3.67,2892.90,23.97
2025-12-25T23:46:40.864903,ETHUSDT,2892.89,3.54,2892.90,26.89
2025-12-25T23:46:40.875117,ETHUSDT,2892.86,0.02,2892.87,1.92
2025-12-25T23:46:40.885344,ETHUSDT,2892.62,0.35,2892.63,9.33
2025-12-25T23:46:40.895409,ETHUSDT,2892.62,0.36,2892.63,84.38
2025-12-25T23:46:40.904721,ETHUSDT,2892.50,0.18,2892.51,1.60
2025-12-25T23:46:40.917673,ETHUSDT,2892.50,0.26,2892.51,50.85
2025-12-25T23:46:40.924761,ETHUSDT,2892.50,0.26,2892.51,53.62
2025-12-25T23:46:40.936648,ETHUSDT,2892.43,0.02,2892.44,48.91
2025-12-25T23:46:40.943835,ETHUSDT,2892.43,0.03,2892.44,50.07
2025-12-25T23:46:40.955214,ETHUSDT,2892.43,0.03,2892.44,50.43
2025-12-25T23:46:40.964677,ETHUSDT,2892.43,4.89,2892.44,50.95
2025-12-25T23:46:40.994702,ETHUSDT,2892.43,8.34,2892.44,50.95
2025-12-25T23:46:41.004748,ETHUSDT,2892.43,8.34,2892.44,50.43
2025-12-25T23:46:41.034905,ETHUSDT,2892.43,8.34,2892.44,50.78
2025-12-25T23:46:41.056530,ETHUSDT,2892.09,38.78,2892.44,50.78
2025-12-25T23:46:41.065139,ETHUSDT,2892.09,46.09,2892.10,21.77
2025-12-25T23:46:41.075191,ETHUSDT,2892.15,5.51,2892.18,1.34
2025-12-25T23:46:41.084635,ETHUSDT,2892.29,30.51,2892.30,12.53
2025-12-25T23:46:41.095139,ETHUSDT,2892.29,17.93,2892.30,26.97
2025-12-25T23:46:41.104775,ETHUSDT,2892.29,0.16,2892.30,43.20
2025-12-25T23:46:41.134195,ETHUSDT,2892.29,0.17,2892.30,44.46
2025-12-25T23:46:41.165885,ETHUSDT,2892.29,3.62,2892.30,44.46
2025-12-25T23:46:41.177965,ETHUSDT,2892.29,0.57,2892.30,44.46
2025-12-25T23:46:41.184863,ETHUSDT,2892.29,0.72,2892.30,44.46
2025-12-25T23:46:41.195238,ETHUSDT,2892.29,0.58,2892.30,44.46
2025-12-25T23:46:41.247383,ETHUSDT,2892.29,0.58,2892.30,46.08
2025-12-25T23:46:41.252586,ETHUSDT,2892.29,0.58,2892.30,46.06
2025-12-25T23:46:41.509430,ETHUSDT,2892.29,0.58,2892.30,46.16
2025-12-25T23:46:41.624812,ETHUSDT,2892.29,0.58,2892.30,42.46
2025-12-25T23:46:41.644995,ETHUSDT,2892.29,0.58,2892.30,45.07
2025-12-25T23:46:41.655488,ETHUSDT,2892.29,17.15,2892.30,30.82
2025-12-25T23:46:41.675724,ETHUSDT,2892.29,17.15,2892.30,30.04
2025-12-25T23:46:41.706180,ETHUSDT,2892.29,17.15,2892.30,28.41
2025-12-25T23:46:41.718275,ETHUSDT,2892.29,16.96,2892.30,28.41
2025-12-25T23:46:41.755771,ETHUSDT,2892.29,16.96,2892.30,28.77
2025-12-25T23:46:41.805934,ETHUSDT,2892.29,16.96,2892.30,22.05
2025-12-25T23:46:41.885585,ETHUSDT,2892.29,16.96,2892.30,22.02
2025-12-25T23:46:41.916005,ETHUSDT,2892.29,16.96,2892.30,24.16
2025-12-25T23:46:41.975894,ETHUSDT,2892.29,0.40,2892.30,24.16
2025-12-25T23:46:42.005210,ETHUSDT,2892.29,0.40,2892.30,25.36
2025-12-25T23:46:42.015068,ETHUSDT,2892.29,0.40,2892.30,26.99
2025-12-25T23:46:42.084685,ETHUSDT,2892.29,1.02,2892.30,26.99
2025-12-25T23:46:42.105033,ETHUSDT,2892.29,1.02,2892.30,26.49
2025-12-25T23:46:42.194825,ETHUSDT,2892.29,1.15,2892.30,26.49
2025-12-25T23:46:42.217100,ETHUSDT,2892.29,60.61,2892.30,6.00
2025-12-25T23:46:42.224813,ETHUSDT,2892.29,58.30,2892.30,8.93
2025-12-25T23:46:42.235169,ETHUSDT,2892.29,59.03,2892.30,5.33
2025-12-25T23:46:42.245342,ETHUSDT,2892.29,58.34,2892.30,4.43
2025-12-25T23:46:42.255469,ETHUSDT,2892.29,59.20,2892.30,4.43
2025-12-25T23:46:42.265525,ETHUSDT,2892.29,59.20,2892.30,4.31
2025-12-25T23:46:42.274931,ETHUSDT,2892.29,74.74,2892.30,2.66
2025-12-25T23:46:42.305093,ETHUSDT,2892.29,74.78,2892.30,2.66
2025-12-25T23:46:42.318894,ETHUSDT,2892.29,75.47,2892.30,2.66
2025-12-25T23:46:42.324619,ETHUSDT,2892.29,75.72,2892.30,2.66
